year,animal_type,outcome,region,region_total
2001,Other Animals,Reclaimed,New South Wales,645
2001,Other Animals,Reclaimed,Northern Territory,0
2001,Other Animals,Reclaimed,Queensland,5
2001,Other Animals,Reclaimed,South Australia,18
2001,Other Animals,Reclaimed,Tasmania,8
2001,Other Animals,Reclaimed,Victoria,78
2001,Other Animals,Reclaimed,Western Australia,1
2001,Other Animals,Rehomed,Australian Capital Territory,361
2001,Other Animals,Rehomed,New South Wales,396
2001,Other Animals,Rehomed,Northern Territory,0
2001,Other Animals,Rehomed,Queensland,132
2001,Other Animals,Rehomed,South Australia,105
2001,Other Animals,Rehomed,Tasmania,74
2001,Other Animals,Rehomed,Victoria,98
2001,Other Animals,Rehomed,Western Australia,68
2001,Other Animals,Other,Australian Capital Territory,0
2001,Other Animals,Other,New South Wales,168
2001,Other Animals,Other,Northern Territory,0
2001,Other Animals,Other,Queensland,0
2001,Other Animals,Other,South Australia,25
2001,Other Animals,Other,Tasmania,5
2001,Other Animals,Other,Victoria,35
2001,Other Animals,Other,Western Australia,4
2001,Other Animals,Euthanized,Australian Capital Territory,50
2001,Other Animals,Euthanized,New South Wales,530
2001,Other Animals,Euthanized,Northern Territory,0
2001,Other Animals,Euthanized,Queensland,416
2001,Other Animals,Euthanized,South Australia,163
2001,Other Animals,Euthanized,Tasmania,21
2001,Other Animals,Euthanized,Victoria,482
2001,Other Animals,Euthanized,Western Australia,1
2002,Dogs,Reclaimed,Australian Capital Territory,592
2002,Dogs,Reclaimed,New South Wales,2921
2002,Dogs,Reclaimed,Northern Territory,254
2002,Dogs,Reclaimed,Queensland,1821
2002,Dogs,Reclaimed,South Australia,1058
2002,Dogs,Reclaimed,Tasmania,513
2002,Dogs,Reclaimed,Victoria,6960
2002,Dogs,Reclaimed,Western Australia,669
2002,Dogs,Rehomed,Australian Capital Territory,873
2002,Dogs,Rehomed,New South Wales,6500
2002,Dogs,Rehomed,Northern Territory,562
2002,Dogs,Rehomed,Queensland,4711
2002,Dogs,Rehomed,South Australia,2095
2002,Dogs,Rehomed,Tasmania,531
2002,Dogs,Rehomed,Victoria,5369
2002,Dogs,Rehomed,Western Australia,828
2002,Dogs,Currently In Care,Australian Capital Territory,74
2002,Dogs,Currently In Care,New South Wales,699
2002,Dogs,Currently In Care,Northern Territory,39
2002,Dogs,Currently In Care,Queensland,599
2002,Dogs,Currently In Care,South Australia,101
2002,Dogs,Currently In Care,Tasmania,32
2002,Dogs,Currently In Care,Victoria,330
2002,Dogs,Currently In Care,Western Australia,136
2002,Dogs,Transferred,Australian Capital Territory,2
2002,Dogs,Transferred,New South Wales,280
2002,Dogs,Transferred,Northern Territory,0
2002,Dogs,Transferred,Queensland,39
2002,Dogs,Transferred,South Australia,321
2002,Dogs,Transferred,Tasmania,94
2002,Dogs,Transferred,Victoria,145
2002,Dogs,Transferred,Western Australia,380
2002,Dogs,Euthanized,Australian Capital Territory,216
2002,Dogs,Euthanized,New South Wales,7105
2002,Dogs,Euthanized,Northern Territory,960
2002,Dogs,Euthanized,Queensland,8769
2002,Dogs,Euthanized,South Australia,1535
2002,Dogs,Euthanized,Tasmania,450
2002,Dogs,Euthanized,Victoria,5473
2002,Dogs,Euthanized,Western Australia,46
2002,Dogs,Other,Australian Capital Territory,10
2002,Dogs,Other,New South Wales,496
2002,Dogs,Other,Northern Territory,0
2002,Dogs,Other,Queensland,0
2002,Dogs,Other,South Australia,0
2002,Dogs,Other,Tasmania,3
2002,Dogs,Other,Victoria,0
2002,Dogs,Other,Western Australia,2
2002,Cats,Reclaimed,Australian Capital Territory,109
2002,Cats,Reclaimed,New South Wales,182
2002,Cats,Reclaimed,Northern Territory,20
2002,Cats,Reclaimed,Queensland,29
2002,Cats,Reclaimed,South Australia,49
2002,Cats,Reclaimed,Tasmania,68
2002,Cats,Reclaimed,Victoria,586
2002,Cats,Reclaimed,Western Australia,8
2002,Cats,Rehomed,Australian Capital Territory,1110
2002,Cats,Rehomed,New South Wales,4426
2002,Cats,Rehomed,Northern Territory,374
2002,Cats,Rehomed,Queensland,4028
2002,Cats,Rehomed,South Australia,1122
2002,Cats,Rehomed,Tasmania,622
2002,Cats,Rehomed,Victoria,4805
2002,Cats,Rehomed,Western Australia,452
2002,Cats,Currently In Care,Australian Capital Territory,77
2002,Cats,Currently In Care,New South Wales,324
2002,Cats,Currently In Care,Northern Territory,68
2002,Cats,Currently In Care,Queensland,533
2002,Cats,Currently In Care,South Australia,24
2002,Cats,Currently In Care,Tasmania,43
2002,Cats,Currently In Care,Victoria,392
2002,Cats,Currently In Care,Western Australia,31
2002,Cats,Transferred,Australian Capital Territory,5
2002,Cats,Transferred,New South Wales,91
2002,Cats,Transferred,Northern Territory,0
2002,Cats,Transferred,Queensland,6
2002,Cats,Transferred,South Australia,0
2002,Cats,Transferred,Tasmania,167
2002,Cats,Transferred,Victoria,1204
2002,Cats,Transferred,Western Australia,0
2002,Cats,Euthanized,Australian Capital Territory,755
2002,Cats,Euthanized,New South Wales,6042
2002,Cats,Euthanized,Northern Territory,779
2002,Cats,Euthanized,Queensland,12475
2002,Cats,Euthanized,South Australia,3052
2002,Cats,Euthanized,Tasmania,777
2002,Cats,Euthanized,Victoria,6456
2002,Cats,Euthanized,Western Australia,113
2002,Cats,Other,Australian Capital Territory,22
2002,Cats,Other,New South Wales,250
